dates,prices,mas,signals,returns
2023-09-22 14:50:00,26620.6,26313.54260680633,-1.0,99.97715337974444
2023-09-22 14:51:00,26609.31,26313.579065094847,-1.0,99.97715337974444
2023-09-22 14:52:00,26619.15,26313.615878759178,-1.0,99.97715337974444
2023-09-22 14:53:00,26626.47,26313.653114486064,-1.0,99.97715337974444
2023-09-22 14:54:00,26625.68,26313.690300305447,-1.0,99.97715337974444
2023-09-22 14:55:00,26642.3,26313.72820074859,-1.0,99.97715337974444
2023-09-22 14:56:00,26641.94,26313.765887363916,-1.0,99.97715337974444
2023-09-22 14:57:00,26672.26,26313.80471754935,-1.0,99.97715337974444
2023-09-22 14:58:00,26684.77,26313.844402615818,-1.0,99.97715337974444
2023-09-22 14:59:00,26679.08,26313.883902680354,-1.0,99.97715337974444
2023-09-22 15:00:00,26672.05,26313.923100288237,-1.0,99.97715337974444
2023-09-22 15:01:00,26668.27,26313.962337908168,-1.0,99.97715337974444
2023-09-22 15:02:00,26658.1,26314.00125026888,-1.0,99.97715337974444
2023-09-22 15:03:00,26645.65,26314.039479413135,-1.0,99.97715337974444
2023-09-22 15:04:00,26641.96,26314.077657359187,-1.0,99.97715337974444
2023-09-22 15:05:00,26655.66,26314.116809361938,-1.0,99.97715337974444
2023-09-22 15:06:00,26660.35,26314.156293077467,-1.0,99.97715337974444
2023-09-22 15:07:00,26670.2,26314.1962005765,-1.0,99.97715337974444
2023-09-22 15:08:00,26666.75,26314.23618250654,-1.0,99.97715337974444
2023-09-22 15:09:00,26649.48,26314.27550488317,-1.0,99.97715337974444
2023-09-22 15:10:00,26634.82,26314.31419653227,-1.0,99.97715337974444
2023-09-22 15:11:00,26634.82,26314.352731575076,-1.0,99.97715337974444
2023-09-22 15:12:00,26629.14,26314.391021812997,-1.0,99.97715337974444
2023-09-22 15:13:00,26632.13,26314.42927203887,-1.0,99.97715337974444
2023-09-22 15:14:00,26637.27,26314.467743406596,-1.0,99.97715337974444
2023-09-22 15:15:00,26631.07,26314.50671815168,-1.0,99.97715337974444
2023-09-22 15:16:00,26641.89,26314.546158413264,-1.0,99.97715337974444
2023-09-22 15:17:00,26649.31,26314.58601127219,-1.0,99.97715337974444
2023-09-22 15:18:00,26669.99,26314.62620918124,-1.0,99.97715337974444
2023-09-22 15:19:00,26674.97,26314.667125155942,-1.0,99.97715337974444
2023-09-22 15:20:00,26679.16,26314.708125887344,-1.0,99.97715337974444
