signal,btc,usdt,time,price,quantity,commission,fillsLength
-1,0.0,14.899816899999994,1680220950945,28040.44000000,0.00053000,0.01486143,1
1,0.00052,0.28081769999999473,1680228128174,28113.46000000,0.00052000,0.00000052,1
-1,0.0,14.923788899999995,1680235297026,28159.56000000,0.00052000,0.01464297,1
1,0.00053,0.06257829999999664,1680242549012,28040.02000000,0.00053000,0.00000053,1
-1,0.0,14.846679199999997,1680260501763,27894.53000000,0.00053000,0.01478410,1
1,0.00052,0.1143355999999951,1680285711568,28331.43000000,0.00052000,0.00000052,1
-1,0.0,14.886620399999995,1680292967884,28408.24000000,0.00052000,0.01477228,1
1,0.00052,0.08408719999999725,1680307318952,28466.41000000,0.00052000,0.00000052,1
-1,0.0,14.883297599999997,1680310891825,28460.02000000,0.00052000,0.01479921,1
1,0.00052,0.04672519999999558,1680321705417,28531.87000000,0.00052000,0.00000052,1
-1,0.0,14.905839599999995,1680325317226,28575.22000000,0.00052000,0.01485911,1
1,0.00052,0.10433599999999643,1680332514349,28464.43000000,0.00052000,0.00000052,1
-1,0.0,14.910072399999997,1680346904050,28472.57000000,0.00052000,0.01480574,1
1,0.00052,0.15581599999999618,1680350504430,28373.57000000,0.00052000,0.00000052,1
-1,0.0,14.921517599999996,1680364910281,28395.58000000,0.00052000,0.01476570,1
1,0.00052,0.18373999999999668,1680368513892,28341.88000000,0.00052000,0.00000052,1
-1,0.0,14.938043199999997,1680372111017,28373.66000000,0.00052000,0.01475430,1
1,0.00052,0.14142239999999617,1680393779328,28455.04000000,0.00052000,0.00000052,1
-1,0.0,14.915017599999997,1680404570465,28410.76000000,0.00052000,0.01477360,1
1,0.00052,0.15183799999999437,1680411707579,28390.73000000,0.00052000,0.00000052,1
-1,0.0,14.953050399999995,1680415339846,28463.87000000,0.00052000,0.01480121,1
1,0.00052,0.17805639999999734,1680422518949,28413.45000000,0.00052000,0.00000052,1
-1,0.0,14.837594799999998,1680458509358,28191.42000000,0.00052000,0.01465954,1
1,0.00052,0.19548679999999763,1680462062420,28157.90000000,0.00052000,0.00000052,1
-1,0.0,14.798345199999998,1680476535668,28082.42000000,0.00052000,0.01460286,1
1,0.00053,0.1321692999999975,1680487283316,27672.03000000,0.00053000,0.00000053,1
-1,0.0,14.869301599999998,1680505304242,27805.91000000,0.00053000,0.01473713,1
1,0.00052,0.23249239999999816,1680526902743,28147.71000000,0.00052000,0.00000052,1
-1,0.0,14.928285199999998,1680530498469,28261.14000000,0.00052000,0.01469579,1
1,0.00053,0.09231319999999776,1680534098571,27992.40000000,0.00053000,0.00000053,1
-1,0.0,15.054425199999997,1680548500805,28230.40000000,0.00053000,0.01496211,1
1,0.00055,0.06748629999999523,1680555701983,27248.97000000,0.00055000,0.00000001,2
-1,0.0,15.373298799999995,1680573676127,27828.75000000,0.00055000,0.01530581,1
1,0.00055,0.07262329999999473,1680584511792,27819.41000000,0.00055000,0.00000055,1
-1,0.0,15.426241799999994,1680588122082,27915.67000000,0.00055000,0.01535362,1
1,0.00054,0.2396165999999944,1680620505488,28123.38000000,0.00054000,0.00000054,1
-1,0.0,15.480176999999994,1680631297805,28223.26000000,0.00054000,0.01524056,1
1,0.00055,0.013274999999994819,1680634875825,28121.64000000,0.00055000,0.00000055,1
-1,0.0,15.510542499999994,1680638457546,28176.85000000,0.00055000,0.01549727,1
1,0.00055,0.024835999999995195,1680652944212,28155.83000000,0.00055000,0.00000055,1
-1,0.0,15.752047499999994,1680656502916,28594.93000000,0.00055000,0.01572721,1
1,0.00055,0.08767349999999396,1680670929292,28480.68000000,0.00055000,0.00000055,1
-1,0.0,15.819642499999993,1680674524218,28603.58000000,0.00055000,0.01573197,1
1,0.00055,0.12702049999999154,1680678102963,28532.04000000,0.00055000,0.00000001,2
-1,0.0,15.823882999999991,1680685311348,28539.75000000,0.00055000,0.01569686,1
1,0.00055,0.14197499999999152,1680688903926,28512.56000000,0.00055000,0.00000055,1
-1,0.0,15.851960499999992,1680696111539,28563.61000000,0.00055000,0.01570999,1
1,0.00055,0.15436099999999087,1680699703961,28541.09000000,0.00055000,0.00000055,1
-1,0.0,15.674068499999992,1680724912639,28217.65000000,0.00055000,0.01551971,1
1,0.00055,0.1886479999999917,1680735702379,28155.31000000,0.00055000,0.00000055,1
-1,0.0,15.656242999999991,1680753697084,28122.90000000,0.00055000,0.01546760,1
1,0.00055,0.21829299999999208,1680757298141,28069.00000000,0.00055000,0.00000055,1
-1,0.0,15.588097999999992,1680782487719,27945.10000000,0.00055000,0.01536981,1
1,0.00055,0.2365914999999923,1680786101321,27911.83000000,0.00055000,0.00000055,1
-1,0.0,15.609041999999992,1680789704579,27949.91000000,0.00055000,0.01537245,1
1,0.00055,0.22525049999999247,1680807667154,27970.53000000,0.00055000,0.00000055,1
-1,0.0,15.628297499999993,1680818523377,28005.54000000,0.00055000,0.01540305,1
1,0.00055,0.21530649999999163,1680836531564,28023.62000000,0.00055000,0.00000055,1
-1,0.0,15.574523999999991,1680865296242,27925.85000000,0.00055000,0.01535922,1
1,0.00055,0.2629254999999908,1680868885871,27839.27000000,0.00055000,0.00000055,1
-1,0.0,15.604306999999991,1680872504723,27893.47000000,0.00055000,0.00027893,2
1,0.00055,0.2606599999999908,1680886908495,27897.54000000,0.00055000,0.00000055,1
